"Id ","x0 (LU) ","y0 (LU) ","z0 (LU) ","vx0 (LU/TU) ","vy0 (LU/TU) ","vz0 (LU/TU) ","Jacobi constant (LU2/TU2) ","Period (TU) ","Period (days) ","Stability index  ","Mass ratio"
"1147","8.2339081983651485E-1","-1.9017764504099543E-28","9.8941366235910004E-4","-2.3545391932685812E-15","1.2634272983881797E-1","2.2367029429442455E-16","3.1743435193301202E+0","2.7430007981241529E+0","1.2158772936893689E+1","1.1804065333857600E+3","1.215058560962404E-2"
"1146","8.2339046219237078E-1","8.1862579238471623E-27","2.3386506364385861E-3","-1.6087112757165459E-15","1.2641757484149027E-1","6.2156848285716253E-16","3.1743048350860001E+0","2.7430316552716643E+0","1.2158909715946152E+1","1.1796246135216199E+3","1.215058560962404E-2"
"1145","8.2338983102485563E-1","8.2680125862110327E-27","3.6867260822713629E-3","-1.8663094559298700E-15","1.2655277462611700E-1","9.0845361544864190E-16","3.1742348815922701E+0","2.7430874445074775E+0","1.2159157010314800E+1","1.1782117130874999E+3","1.215058560962404E-2"
"1144","8.2338895459048989E-1","-8.1744493465225147E-27","5.0329913747852754E-3","-1.1681655681695368E-15","1.2674774099650740E-1","1.5972995951622074E-15","3.1741338356326900E+0","2.7431680069677702E+0","1.2159514115811309E+1","1.1761732264251300E+3","1.215058560962404E-2"
"1143","8.2338787303774807E-1","5.9521807372128352E-29","6.3768259805378012E-3","-1.5930354102885625E-15","1.2700163896647410E-1","8.8947025903502806E-16","3.1740019479588599E+0","2.7432731169866038E+0","1.2159980032136694E+1","1.1735168244964600E+3","1.215058560962404E-2"
"1142","8.2338663761433939E-1","-5.7850809342153700E-27","7.7176461245161143E-3","-1.0326666270228556E-15","1.2731340401147301E-1","1.8079701862210234E-15","3.1738395379007098E+0","2.7434024865943005E+0","1.2160553482821067E+1","1.1702523105158300E+3","1.215058560962404E-2"
"1141","8.2338530969227619E-1","-2.4185413770300169E-27","9.0549121100447529E-3","2.8194516042370968E-17","1.2768176323161209E-1","8.4013956049862908E-16","3.1736469867682100E+0","2.7435557710235230E+0","1.2161232939630176E+1","1.1663914426857300E+3","1.215058560962404E-2"
"1140","8.2338395965394162E-1","6.9595411255565647E-27","1.0388134109471868E-2","-6.3948254173238216E-16","1.2810525945293288E-1","1.6016993893213770E-15","3.1734247303562402E+0","2.7437325749622583E+0","1.2162016650282721E+1","1.1619477322477901E+3","1.215058560962404E-2"
"1139","8.2338266568510654E-1","-2.8103219909781231E-28","1.1716876339834623E-2","6.4108661630938776E-16","1.2858227723714716E-1","9.0871500602324057E-16","3.1731732508815300E+0","2.7439324592778780E+0","1.2162902668255786E+1","1.1569362253836200E+3","1.215058560962404E-2"
"1138","8.2338130662681341E-1","-4.5147253460974695E-27","1.3304923910393202E-2","-7.5526097454816906E-16","1.2922287990029652E-1","5.5768158894026908E-15","3.1728336358850902E+0","2.7442021141188757E+0","1.2164097954813947E+1","1.1501960326579599E+3","1.215058560962404E-2"